artists,title,date,accousticness,danceability,duration_ms,energy,instrumentalness,liveness,speechiness
Another Bad Creation,Iesha,1991-04-13,0.0403,0.714,261907,0.786,0.0,0.0302,0.164
Another Bad Creation,Playground,1991-06-29,0.113,0.788,249773,0.772,0.0,0.95,0.12
Aqua,Barbie Girl,1997-09-20,0.0167,0.812,197960,0.879,0.224,0.366,0.0397
Arcadia,Election Day - 2010 Remaster,1986-01-04,0.000557,0.716,329107,0.634,7.29e-05,0.249,0.0315
Archie Bell & The Drells,I Can't Stop Dancing,1968-09-07,0.656,0.565,141373,0.729,0.000147,0.0492,0.163
Archie Bell & The Drells,"Tighten Up, Pt. 1",1968-06-22,0.242,0.708,196000,0.441,0.000147,0.0899,0.196
Arctic Monkeys,Why'd You Only Call Me When You're High?,1959-06-15,0.0483,0.691,161124,0.631,1.13e-05,0.104,0.0368
Aretha Franklin,Baby I Love You,1967-09-16,0.632,0.739,160213,0.277,0.0,0.149,0.0386
Aretha Franklin,Bridge over Troubled Water,1971-06-12,0.758,0.501,333933,0.302,0.000267,0.0888,0.033
Aretha Franklin,Chain of Fools,1968-02-10,0.221,0.721,167067,0.567,0.0,0.465,0.0389
Aretha Franklin,Day Dreaming,1972-05-13,0.907,0.463,239960,0.273,0.000367,0.101,0.074
Aretha Franklin,Freeway Of Love,1985-09-14,0.242,0.688,352093,0.899,5.55e-06,0.0223,0.0734
Aretha Franklin,I Never Loved a Man (The Way I Love You),1967-04-22,0.367,0.657,171773,0.371,0.0459,0.157,0.0359
Aretha Franklin,I Say a Little Prayer,1968-10-05,0.478,0.592,216773,0.355,0.0,0.0585,0.0352
Aretha Franklin,Respect,1967-07-01,0.164,0.805,147600,0.558,2.2e-05,0.0546,0.041
Aretha Franklin,Rock Steady,1971-12-04,0.0108,0.749,193573,0.752,0.0954,0.235,0.126
Aretha Franklin,Spanish Harlem,1971-10-02,0.235,0.66,213560,0.619,0.00793,0.0828,0.0466
Aretha Franklin,The House That Jack Built - 2018 Mono Remaster,1968-09-21,0.189,0.493,141347,0.846,0.0,0.332,0.0534
Aretha Franklin,Think,1968-06-29,0.251,0.687,139733,0.63,0.0,0.221,0.0389
Aretha Franklin,Until You Come Back to Me (That's What I'm Gonna Do),1974-03-09,0.683,0.664,208467,0.634,3.34e-05,0.221,0.0349
Aretha Franklin,Who's Zoomin' Who?,1985-12-07,0.376,0.788,284507,0.532,1.63e-06,0.0622,0.0375
"Aretha Franklin, George Michael",I Knew You Were Waiting (For Me),1987-05-09,0.231,0.705,240120,0.842,0.0,0.382,0.0503
Argent,Hold Your Head Up,1972-09-02,0.3,0.502,377560,0.488,0.128,0.319,0.0261
Ariana Grande,34+35,2021-03-27,0.237,0.83,173711,0.585,0.0,0.248,0.094
Ariana Grande,7 rings,2019-05-18,0.592,0.778,178627,0.317,0.0,0.0881,0.334
Ariana Grande,Dangerous Woman,2016-06-11,0.0529,0.664,235947,0.602,0.0,0.356,0.0412
Ariana Grande,Focus,2015-11-21,0.266,0.671,211360,0.876,0.0,0.444,0.239
Ariana Grande,God is a woman,2018-09-08,0.0233,0.602,197547,0.658,6e-05,0.237,0.0558
Ariana Grande,"break up with your girlfriend, i'm bored",2019-03-02,0.0421,0.726,190440,0.554,0.0,0.106,0.0917
Ariana Grande,no tears left to cry,2018-09-01,0.04,0.699,205920,0.713,3.11e-06,0.294,0.0594
Ariana Grande,positions,2021-03-06,0.468,0.737,172325,0.802,0.0,0.0931,0.0878
"Ariana Grande, Iggy Azalea",Problem,2014-08-30,0.0192,0.66,193920,0.805,8.83e-06,0.159,0.153
"Ariana Grande, Justin Bieber",Stuck with U (with Justin Bieber),2020-05-23,0.223,0.597,228482,0.45,0.0,0.382,0.0418
"Ariana Grande, Mac Miller",The Way,2013-07-13,0.294,0.645,227027,0.877,0.0,0.0759,0.113
"Ariana Grande, Nicki Minaj",Side To Side,2017-01-28,0.0528,0.65,226160,0.736,0.0,0.235,0.229
"Ariana Grande, Social House",boyfriend (with Social House),2019-08-17,0.119,0.4,186107,0.795,0.0,0.159,0.461
"Ariana Grande, The Weeknd",Love Me Harder,2015-01-24,0.00937,0.472,236133,0.714,0.0,0.0764,0.0334
"Ariana Grande, Zedd",Break Free,2014-10-18,0.0064,0.687,214840,0.702,4.35e-05,0.204,0.0455
Arizona Zervas,ROXANNE,2020-04-04,0.0522,0.621,163636,0.601,0.0,0.46,0.148
Arrested Development,Mr. Wendal,1993-04-10,0.0188,0.884,247507,0.37,0.00423,0.026,0.112
Arrested Development,People Everyday - Metamorphosis Mix,1992-10-31,0.0074,0.844,296333,0.609,0.0,0.563,0.217
Arrested Development,Tennessee,1992-07-18,0.0241,0.822,272707,0.661,3.95e-06,0.315,0.164
Art Garfunkel,All I Know,1973-11-10,0.785,0.276,230787,0.386,3.35e-05,0.0827,0.0312
Arthur Conley,Sweet Soul Music,1967-06-03,0.104,0.59,141067,0.659,6.56e-06,0.356,0.0697
